Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10n,C19666
"C2, C7",0603,2,100n,C19666
C3,0603,1,3.3u/16V,C19666
C4,0603,1,0.1u,C14663
C5,0603,1,1u,C15849
C6,0603,1, 100n (X7R),C19666
C8,0603,1, 10u (X7R),C19666
C9,0603,1, 10n (X7R),C19666
J1,Battery_2pin,1,Conn_01x02,
"J2, J3",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06,
J4,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01,
PSW1,TGSW_MSK-12D19,1,SW_SPDT,
R1,0603,1,2M,
"SW1, SW2, SW3, SW4, SW5, SW6",SW_D2LS-11_2_OMR,6,D2LS-21,
U1,SOT-23-5,1,TCR2EF19,C146366
U2,PMW3610,1,PMW3610,
